state,stage,date,students
Penang,tertiary,1/1/2018,6864
Penang,tertiary,1/1/2019,6592
Penang,tertiary,1/1/2020,3605
Penang,tertiary,1/1/2021,3379
Penang,tertiary,1/1/2022,3454
Sabah,primary,1/1/2017,273837
Sabah,primary,1/1/2018,277583
Sabah,primary,1/1/2019,284266
Sabah,primary,1/1/2020,289528
Sabah,primary,1/1/2021,292188
Sabah,primary,1/1/2022,292541
Sabah,secondary,1/1/2017,210268
Sabah,secondary,1/1/2018,190742
Sabah,secondary,1/1/2019,189409
Sabah,secondary,1/1/2020,190600
Sabah,secondary,1/1/2021,198935
Sabah,secondary,1/1/2022,204780
Sabah,tertiary,1/1/2018,17833
Sabah,tertiary,1/1/2019,18921
Sabah,tertiary,1/1/2020,10006
Sabah,tertiary,1/1/2021,10169
Sabah,tertiary,1/1/2022,9543
Sarawak,primary,1/1/2017,245423
Sarawak,primary,1/1/2018,244941
Sarawak,primary,1/1/2019,244813
Sarawak,primary,1/1/2020,242258
Sarawak,primary,1/1/2021,239373
Sarawak,primary,1/1/2022,235319
Sarawak,secondary,1/1/2017,202744
Sarawak,secondary,1/1/2018,185852
Sarawak,secondary,1/1/2019,183866
Sarawak,secondary,1/1/2020,184190
Sarawak,secondary,1/1/2021,188147
Sarawak,secondary,1/1/2022,189658
Sarawak,tertiary,1/1/2018,14963
Sarawak,tertiary,1/1/2019,14722
Sarawak,tertiary,1/1/2020,7597
Sarawak,tertiary,1/1/2021,7793
Sarawak,tertiary,1/1/2022,7502
Selangor,primary,1/1/2017,512717
Selangor,primary,1/1/2018,518388
Selangor,primary,1/1/2019,529031
Selangor,primary,1/1/2020,535486
Selangor,primary,1/1/2021,545086
Selangor,primary,1/1/2022,548622
Selangor,secondary,1/1/2017,375957
Selangor,secondary,1/1/2018,353931
Selangor,secondary,1/1/2019,354162
Selangor,secondary,1/1/2020,356024
Selangor,secondary,1/1/2021,363704
Selangor,secondary,1/1/2022,367664
Selangor,tertiary,1/1/2018,14221
Selangor,tertiary,1/1/2019,13694
Selangor,tertiary,1/1/2020,7518
Selangor,tertiary,1/1/2021,7301
Selangor,tertiary,1/1/2022,7479
Terengganu,primary,1/1/2017,124850
Terengganu,primary,1/1/2018,126465
Terengganu,primary,1/1/2019,128551
Terengganu,primary,1/1/2020,130208
Terengganu,primary,1/1/2021,132839
Terengganu,primary,1/1/2022,134557
Terengganu,secondary,1/1/2017,103381
Terengganu,secondary,1/1/2018,93671
Terengganu,secondary,1/1/2019,92354
