state,stage,date,schools,students
Sabah,tertiary,1/1/2022,1,9543
Sarawak,primary,1/1/2018,1265,244941
Sarawak,primary,1/1/2019,1265,244813
Sarawak,primary,1/1/2020,1265,242258
Sarawak,primary,1/1/2021,1265,239373
Sarawak,primary,1/1/2022,1265,235319
Sarawak,secondary,1/1/2018,192,185852
Sarawak,secondary,1/1/2019,193,183866
Sarawak,secondary,1/1/2020,193,184190
Sarawak,secondary,1/1/2021,193,188147
Sarawak,secondary,1/1/2022,193,189658
Sarawak,tertiary,1/1/2018,1,14963
Sarawak,tertiary,1/1/2019,1,14722
Sarawak,tertiary,1/1/2020,1,7597
Sarawak,tertiary,1/1/2021,1,7793
Sarawak,tertiary,1/1/2022,1,7502
Selangor,primary,1/1/2018,661,518388
Selangor,primary,1/1/2019,661,529031
Selangor,primary,1/1/2020,662,535486
Selangor,primary,1/1/2021,663,545086
Selangor,primary,1/1/2022,661,548622
Selangor,secondary,1/1/2018,278,353931
Selangor,secondary,1/1/2019,278,354162
Selangor,secondary,1/1/2020,278,356024
Selangor,secondary,1/1/2021,278,363704
Selangor,secondary,1/1/2022,279,367664
Selangor,tertiary,1/1/2018,4,14221
Selangor,tertiary,1/1/2019,4,13694
Selangor,tertiary,1/1/2020,4,7518
Selangor,tertiary,1/1/2021,4,7301
Selangor,tertiary,1/1/2022,4,7479
Terengganu,primary,1/1/2018,352,126465
Terengganu,primary,1/1/2019,352,128551
Terengganu,primary,1/1/2020,352,130208
Terengganu,primary,1/1/2021,352,132839
Terengganu,primary,1/1/2022,352,134557
Terengganu,secondary,1/1/2018,151,93671
Terengganu,secondary,1/1/2019,152,92354
Terengganu,secondary,1/1/2020,152,91970
Terengganu,secondary,1/1/2021,153,94978
Terengganu,secondary,1/1/2022,154,97169
Terengganu,tertiary,1/1/2018,2,6695
Terengganu,tertiary,1/1/2019,2,6420
Terengganu,tertiary,1/1/2020,2,3445
Terengganu,tertiary,1/1/2021,2,3134
Terengganu,tertiary,1/1/2022,2,3405
Kuala Lumpur,primary,1/1/2018,194,127633
Kuala Lumpur,primary,1/1/2019,191,130276
Kuala Lumpur,primary,1/1/2020,191,131465
Kuala Lumpur,primary,1/1/2021,190,133248
Kuala Lumpur,primary,1/1/2022,188,133531
Kuala Lumpur,secondary,1/1/2018,104,86265
Kuala Lumpur,secondary,1/1/2019,104,84761
Kuala Lumpur,secondary,1/1/2020,104,84940
Kuala Lumpur,secondary,1/1/2021,104,86009
Kuala Lumpur,secondary,1/1/2022,104,86197
Kuala Lumpur,tertiary,1/1/2018,2,3106
Kuala Lumpur,tertiary,1/1/2019,2,3101
Kuala Lumpur,tertiary,1/1/2020,2,1864
Kuala Lumpur,tertiary,1/1/2021,2,1598
Kuala Lumpur,tertiary,1/1/2022,2,1737
Labuan,primary,1/1/2018,17,9065
Labuan,primary,1/1/2019,17,9393
Labuan,primary,1/1/2020,17,9703
Labuan,primary,1/1/2021,17,9864
Labuan,primary,1/1/2022,17,9925
Labuan,secondary,1/1/2018,10,5710
Labuan,secondary,1/1/2019,10,5765
Labuan,secondary,1/1/2020,10,5973
Labuan,secondary,1/1/2021,10,6317
Labuan,secondary,1/1/2022,11,6821
Labuan,tertiary,1/1/2018,0,613
Labuan,tertiary,1/1/2019,0,607
Labuan,tertiary,1/1/2020,0,303
Labuan,tertiary,1/1/2021,0,232
Labuan,tertiary,1/1/2022,0,281
Putrajaya,primary,1/1/2018,14,16990
Putrajaya,primary,1/1/2019,14,18586
Putrajaya,primary,1/1/2020,16,20123
Putrajaya,primary,1/1/2021,16,21590
Putrajaya,primary,1/1/2022,16,22503
Putrajaya,secondary,1/1/2018,11,7828
Putrajaya,secondary,1/1/2019,11,8465
Putrajaya,secondary,1/1/2020,11,9209
Putrajaya,secondary,1/1/2021,11,10334
Putrajaya,secondary,1/1/2022,11,11436
Putrajaya,tertiary,1/1/2018,0,175
Putrajaya,tertiary,1/1/2019,0,258
Putrajaya,tertiary,1/1/2020,0,161
Putrajaya,tertiary,1/1/2021,0,130
Putrajaya,tertiary,1/1/2022,0,139
