state,stage,type,schools
Perak,primary,Sekolah Rendah Kerajaan,852
Perak,secondary,Sekolah Menengah Kerajaan,248
Perak,secondary,Sekolah Menengah Kerajaan,250
Perak,secondary,Sekolah Menengah Kerajaan,250
Perak,secondary,Sekolah Menengah Kerajaan,250
Perak,secondary,Sekolah Menengah Kerajaan,250
Perak,secondary,Sekolah Menengah Kerajaan,253
Perak,tertiary,IPTA,1
Perak,tertiary,IPTA,1
Perak,tertiary,IPTA,1
Perak,tertiary,IPTA,1
Perak,tertiary,IPTA,1
Perak,tertiary,IPTA,1
Perlis,primary,Sekolah Rendah Kerajaan,74
Perlis,primary,Sekolah Rendah Kerajaan,74
Perlis,primary,Sekolah Rendah Kerajaan,74
Perlis,primary,Sekolah Rendah Kerajaan,74
Perlis,primary,Sekolah Rendah Kerajaan,74
Perlis,primary,Sekolah Rendah Kerajaan,74
Perlis,secondary,Sekolah Menengah Kerajaan,30
Perlis,secondary,Sekolah Menengah Kerajaan,30
Perlis,secondary,Sekolah Menengah Kerajaan,30
Perlis,secondary,Sekolah Menengah Kerajaan,30
Perlis,secondary,Sekolah Menengah Kerajaan,30
Perlis,secondary,Sekolah Menengah Kerajaan,30
Perlis,tertiary,IPTA,1
Perlis,tertiary,IPTA,1
Perlis,tertiary,IPTA,1
Perlis,tertiary,IPTA,1
Perlis,tertiary,IPTA,1
Perlis,tertiary,IPTA,1
Penang,primary,Sekolah Rendah Kerajaan,271
Penang,primary,Sekolah Rendah Kerajaan,271
Penang,primary,Sekolah Rendah Kerajaan,271
Penang,primary,Sekolah Rendah Kerajaan,271
Penang,primary,Sekolah Rendah Kerajaan,271
Penang,primary,Sekolah Rendah Kerajaan,270
Penang,secondary,Sekolah Menengah Kerajaan,127
Penang,secondary,Sekolah Menengah Kerajaan,128
Penang,secondary,Sekolah Menengah Kerajaan,128
Penang,secondary,Sekolah Menengah Kerajaan,128
Penang,secondary,Sekolah Menengah Kerajaan,129
Penang,secondary,Sekolah Menengah Kerajaan,128
Penang,tertiary,IPTA,1
Penang,tertiary,IPTA,1
Penang,tertiary,IPTA,1
Penang,tertiary,IPTA,1
Penang,tertiary,IPTA,1
Penang,tertiary,IPTA,1
Sabah,primary,Sekolah Rendah Kerajaan,1074
Sabah,primary,Sekolah Rendah Kerajaan,1074
Sabah,primary,Sekolah Rendah Kerajaan,1074
Sabah,primary,Sekolah Rendah Kerajaan,1075
Sabah,primary,Sekolah Rendah Kerajaan,1075
Sabah,primary,Sekolah Rendah Kerajaan,1075
Sabah,secondary,Sekolah Menengah Kerajaan,219
Sabah,secondary,Sekolah Menengah Kerajaan,222
Sabah,secondary,Sekolah Menengah Kerajaan,222
Sabah,secondary,Sekolah Menengah Kerajaan,222
Sabah,secondary,Sekolah Menengah Kerajaan,221
Sabah,secondary,Sekolah Menengah Kerajaan,221
Sabah,tertiary,IPTA,1
Sabah,tertiary,IPTA,1
Sabah,tertiary,IPTA,1
Sabah,tertiary,IPTA,1
Sabah,tertiary,IPTA,1
Sabah,tertiary,IPTA,1
Sarawak,primary,Sekolah Rendah Kerajaan,1264
Sarawak,primary,Sekolah Rendah Kerajaan,1265
Sarawak,primary,Sekolah Rendah Kerajaan,1265
Sarawak,primary,Sekolah Rendah Kerajaan,1265
Sarawak,primary,Sekolah Rendah Kerajaan,1265
Sarawak,primary,Sekolah Rendah Kerajaan,1265
Sarawak,secondary,Sekolah Menengah Kerajaan,190
Sarawak,secondary,Sekolah Menengah Kerajaan,192
Sarawak,secondary,Sekolah Menengah Kerajaan,193
Sarawak,secondary,Sekolah Menengah Kerajaan,193
Sarawak,secondary,Sekolah Menengah Kerajaan,193
Sarawak,secondary,Sekolah Menengah Kerajaan,193
Sarawak,tertiary,IPTA,1
Sarawak,tertiary,IPTA,1
Sarawak,tertiary,IPTA,1
Sarawak,tertiary,IPTA,1
Sarawak,tertiary,IPTA,1
Sarawak,tertiary,IPTA,1
Selangor,primary,Sekolah Rendah Kerajaan,659
Selangor,primary,Sekolah Rendah Kerajaan,661
Selangor,primary,Sekolah Rendah Kerajaan,661
Selangor,primary,Sekolah Rendah Kerajaan,662
Selangor,primary,Sekolah Rendah Kerajaan,663
Selangor,primary,Sekolah Rendah Kerajaan,661
Selangor,secondary,Sekolah Menengah Kerajaan,277
Selangor,secondary,Sekolah Menengah Kerajaan,278
Selangor,secondary,Sekolah Menengah Kerajaan,278
Selangor,secondary,Sekolah Menengah Kerajaan,278
Selangor,secondary,Sekolah Menengah Kerajaan,278
Selangor,secondary,Sekolah Menengah Kerajaan,279
Selangor,tertiary,IPTA,4
Selangor,tertiary,IPTA,4
Selangor,tertiary,IPTA,4
Selangor,tertiary,IPTA,4
Selangor,tertiary,IPTA,4
Selangor,tertiary,IPTA,4
Terengganu,primary,Sekolah Rendah Kerajaan,352
Terengganu,primary,Sekolah Rendah Kerajaan,352
Terengganu,primary,Sekolah Rendah Kerajaan,352
Terengganu,primary,Sekolah Rendah Kerajaan,352
Terengganu,primary,Sekolah Rendah Kerajaan,352
Terengganu,primary,Sekolah Rendah Kerajaan,352
Terengganu,secondary,Sekolah Menengah Kerajaan,150
Terengganu,secondary,Sekolah Menengah Kerajaan,151
Terengganu,secondary,Sekolah Menengah Kerajaan,152
Terengganu,secondary,Sekolah Menengah Kerajaan,152
Terengganu,secondary,Sekolah Menengah Kerajaan,153
Terengganu,secondary,Sekolah Menengah Kerajaan,154
Terengganu,tertiary,IPTA,2
Terengganu,tertiary,IPTA,2
Terengganu,tertiary,IPTA,2
Terengganu,tertiary,IPTA,2
Terengganu,tertiary,IPTA,2
Terengganu,tertiary,IPTA,2
Kuala Lumpur,primary,Sekolah Rendah Kerajaan,201
Kuala Lumpur,primary,Sekolah Rendah Kerajaan,194
Kuala Lumpur,primary,Sekolah Rendah Kerajaan,191
Kuala Lumpur,primary,Sekolah Rendah Kerajaan,191
Kuala Lumpur,primary,Sekolah Rendah Kerajaan,190
Kuala Lumpur,primary,Sekolah Rendah Kerajaan,188
Kuala Lumpur,secondary,Sekolah Menengah Kerajaan,103
Kuala Lumpur,secondary,Sekolah Menengah Kerajaan,104
Kuala Lumpur,secondary,Sekolah Menengah Kerajaan,104
Kuala Lumpur,secondary,Sekolah Menengah Kerajaan,104
Kuala Lumpur,secondary,Sekolah Menengah Kerajaan,104
Kuala Lumpur,secondary,Sekolah Menengah Kerajaan,104
Kuala Lumpur,tertiary,IPTA,2
Kuala Lumpur,tertiary,IPTA,2
Kuala Lumpur,tertiary,IPTA,2
Kuala Lumpur,tertiary,IPTA,2
Kuala Lumpur,tertiary,IPTA,2
Kuala Lumpur,tertiary,IPTA,2
Labuan,primary,Sekolah Rendah Kerajaan,17
Labuan,primary,Sekolah Rendah Kerajaan,17
Labuan,primary,Sekolah Rendah Kerajaan,17
Labuan,primary,Sekolah Rendah Kerajaan,17
Labuan,primary,Sekolah Rendah Kerajaan,17
Labuan,primary,Sekolah Rendah Kerajaan,17
Labuan,secondary,Sekolah Menengah Kerajaan,10
Labuan,secondary,Sekolah Menengah Kerajaan,10
Labuan,secondary,Sekolah Menengah Kerajaan,10
Labuan,secondary,Sekolah Menengah Kerajaan,10
Labuan,secondary,Sekolah Menengah Kerajaan,10
Labuan,secondary,Sekolah Menengah Kerajaan,11
Labuan,tertiary,IPTA,0
Labuan,tertiary,IPTA,0
Labuan,tertiary,IPTA,0
Labuan,tertiary,IPTA,0
Labuan,tertiary,IPTA,0
Labuan,tertiary,IPTA,0
Putrajaya,primary,Sekolah Rendah Kerajaan,14
Putrajaya,primary,Sekolah Rendah Kerajaan,14
Putrajaya,primary,Sekolah Rendah Kerajaan,14
Putrajaya,primary,Sekolah Rendah Kerajaan,16
Putrajaya,primary,Sekolah Rendah Kerajaan,16
Putrajaya,primary,Sekolah Rendah Kerajaan,16
Putrajaya,secondary,Sekolah Menengah Kerajaan,11
Putrajaya,secondary,Sekolah Menengah Kerajaan,11
Putrajaya,secondary,Sekolah Menengah Kerajaan,11
Putrajaya,secondary,Sekolah Menengah Kerajaan,11
Putrajaya,secondary,Sekolah Menengah Kerajaan,11
Putrajaya,secondary,Sekolah Menengah Kerajaan,11
Putrajaya,tertiary,IPTA,0
Putrajaya,tertiary,IPTA,0
Putrajaya,tertiary,IPTA,0
Putrajaya,tertiary,IPTA,0
Putrajaya,tertiary,IPTA,0
Putrajaya,tertiary,IPTA,0
